index,citations,year,Title,citations_average
364,59,1990,Integrated Modeling and Control Based on Reinforcement Learning and Dynamic Programming,2.107142857142857
368,4,1990,Stereopsis by a Neural Network Which Learns the Constraints,0.14285714285714285
369,2,1990,Learning Theory and Experiments with Competitive Networks,0.07142857142857142
370,16,1990,Basis-Function Trees as a Generalization of Local Variable Selection Methods for Function Approximation,0.5714285714285714
371,257,1990,Cholinergic Modulation May Enhance Cortical Associative Memory Function,9.178571428571429
372,191,1990,A competitive modular connectionist architecture,6.821428571428571
373,123,1990,Reinforcement Learning in Markovian and Non-Markovian Environments,4.392857142857143
374,307,1990,The Recurrent Cascade-Correlation Architecture,10.964285714285714
376,15,1990,A Connectionist Learning Control Architecture for Navigation,0.5357142857142857
377,3,1990,From Speech Recognition to Spoken Language Understanding: The Development of the MIT SUMMIT and VOYAGER Systems,0.10714285714285714
378,45,1990,Stochastic Neurodynamics,1.6071428571428572
379,67,1990,A Delay-Line Based Motion Detection Chip,2.392857142857143
380,41,1990,Discovering Viewpoint-Invariant Relationships That Characterize Objects,1.4642857142857142
383,132,1990,Spoken Letter Recognition,4.714285714285714
384,34,1990,Planning with an Adaptive World Model,1.2142857142857142
386,2,1990,Analog Computation at a Critical Point: A Novel Function for Neuronal Oscillations?,0.07142857142857142
388,20,1990,Natural Dolphin Echo Recognition Using an Integrator Gateway Network,0.7142857142857143
389,1,1990,Simulation of the Neocognitron on a CCD Parallel Processing Architecture,0.03571428571428571
390,26,1990,Remarks on Interpolation and Recognition Using Neural Nets,0.9285714285714286
393,37,1990,e-Entropy and the Complexity of Feedforward Neural Networks,1.3214285714285714
395,7,1990,A Multiscale Adaptive Network Model of Motion Computation in Primates,0.25
397,4,1990,Feedback Synapse to Cone and Light Adaptation,0.14285714285714285
398,1,1990,Designing Linear Threshold Based Neural Network Pattern Classifiers,0.03571428571428571
399,27,1990,Convergence of a Neural Network Classifier,0.9642857142857143
400,6,1990,"Interaction Among Ocularity, Retinotopy and On-center/Off-center Pathways During Development",0.21428571428571427
402,135,1990,Using Genetic Algorithms to Improve Pattern Classification Performance,4.821428571428571
404,9,1990,Neural Network Application to Diagnostics and Control of Vehicle Control Systems,0.32142857142857145
405,84,1990,Connectionist Implementation of a Theory of Generalization,3.0
406,2,1990,Statistical Mechanics of Temporal Association in Neural Networks,0.07142857142857142
408,15,1990,Simple Spin Models for the Development of Ocular Dominance Columns and Iso-Orientation Patches,0.5357142857142857
409,3,1990,Order Reduction for Dynamical Systems Describing the Behavior of Complex Neurons,0.10714285714285714
410,53,1990,An Analog VLSI Chip for Finding Edges from Zero-crossings,1.8928571428571428
411,16,1990,How Receptive Field Parameters Affect Neural Learning,0.5714285714285714
412,36,1990,Computing with Arrays of Bell-Shaped and Sigmoid Functions,1.2857142857142858
