index,citations,year,Title,citations_average,predicted_citations
313,8,1990,Flight Control in the Dragonfly: A Neurobiological Simulation,0.2857142857142857,5.2783271296597
318,3,1990,Closed-Form Inversion of Backpropagation Networks: Theory and Optimization Issues,0.10714285714285714,228.40060763475643
320,44,1990,RecNorm: Simultaneous Normalisation and Classification applied to Speech Recognition,1.5714285714285714,70.61914103944018
323,0,1990,A Method for the Efficient Design of Boltzmann Machines for Classiffication Problems,0.0,86.9252484209381
324,1,1990,A four neuron circuit accounts for change sensitive inhibition in salamander retina,0.03571428571428571,3.8913279882647753
326,1,1990,ART2/BP architecture for adaptive estimation of dynamic processes,0.03571428571428571,89.08031033414825
327,11,1990,Compact EEPROM-based Weight Functions,0.3928571428571429,19.06272013619679
328,7,1990,Kohonen Networks and Clustering: Comparative Performance in Color Clustering,0.25,303.4306455511451
329,26,1990,Analog Neural Networks as Decoders,0.9285714285714286,486.7335114427462
330,66,1990,Generalization Properties of Radial Basis Functions,2.357142857142857,23.594121188431057
331,13,1990,Dynamics of Generalization in Linear Perceptrons,0.4642857142857143,48.870460258975264
332,18,1990,"Spherical Units as Dynamic Consequential Regions: Implications for Attention, Competition and Categorization",0.6428571428571429,30.8017014559477
333,32,1990,Adaptive Spline Networks,1.1428571428571428,527.429481531185
334,47,1990,"Comparison of three classification techniques: CART, C4.5 and Multi-Layer Perceptrons",1.6785714285714286,70.16957574205264
337,47,1990,Rapidly Adapting Artificial Neural Networks for Autonomous Navigation,1.6785714285714286,332.42840182778446
339,9,1990,A Model of Distributed Sensorimotor Control in the Cockroach Escape Turn,0.32142857142857145,67.7176895782048
340,17,1990,A VLSI Neural Network for Color Constancy,0.6071428571428571,208.3592758502974
342,9,1990,On Stochastic Complexity and Admissible Models for Neural Network Classifiers,0.32142857142857145,248.6015576045957
344,104,1990,A Framework for the Cooperation of Learning Algorithms,3.7142857142857135,584.216257295548
345,34,1990,Multi-Layer Perceptrons with B-Spline Receptive Field Functions,1.2142857142857142,38.62903151217485
349,9,1990,A Neural Network Approach for Three-Dimensional Object Recognition,0.32142857142857145,201.01820437110595
351,172,1990,Note on Learning Rate Schedules for Stochastic Optimization,6.142857142857142,424.2973324569536
